Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,78.720001,79.470001,78.500000,78.910004,78.910004,6878000
2014-01-03,78.809998,79.129997,78.519997,78.650002,78.650002,4957400
2014-01-06,78.860001,78.910004,77.790001,78.209999,78.209999,7280200
2014-01-07,78.169998,78.849998,77.919998,78.449997,78.449997,5012300
2014-01-08,78.500000,78.510002,77.599998,77.830002,77.830002,5955200
2014-01-09,78.389999,78.400002,77.489998,78.089996,78.089996,5916300
2014-01-10,78.309998,78.720001,77.540001,78.040001,78.040001,5181300
2014-01-13,77.599998,77.970001,77.239998,77.489998,77.489998,6157900
2014-01-14,77.459999,78.000000,77.379997,77.959999,77.959999,4088200
2014-01-15,77.959999,78.099998,77.570000,77.660004,77.660004,4992400
2014-01-16,77.389999,77.470001,76.349998,76.760002,76.760002,7201500
2014-01-17,76.730003,76.820000,76.029999,76.190002,76.190002,11440700
2014-01-21,76.250000,76.389999,74.860001,75.839996,75.839996,8971100
2014-01-22,76.080002,76.080002,75.029999,75.349998,75.349998,5853700
2014-01-23,74.839996,75.120003,74.470001,74.959999,74.959999,6006300
2014-01-24,74.730003,75.120003,74.230003,74.419998,74.419998,9332800
2014-01-27,74.129997,74.370003,73.830002,74.150002,74.150002,9088700
2014-01-28,74.260002,75.400002,74.099998,74.669998,74.669998,6023400
2014-01-29,75.290001,75.370003,74.070000,74.099998,74.099998,8433700
2014-01-30,74.540001,75.089996,74.360001,74.750000,74.750000,6732900
2014-01-31,73.919998,75.190002,73.639999,74.680000,74.680000,10544800
2014-02-03,74.190002,74.500000,72.540001,72.660004,72.660004,10430700
2014-02-04,72.669998,73.099998,72.300003,72.730003,72.730003,7755500
2014-02-05,72.269997,73.160004,72.269997,72.870003,72.870003,4774300
2014-02-06,72.970001,73.209999,72.500000,72.820000,72.820000,7353100
2014-02-07,73.050003,73.800003,72.500000,73.750000,73.750000,7287600
2014-02-10,73.589996,73.760002,72.959999,73.760002,73.760002,6204100
2014-02-11,73.900002,74.849998,73.669998,74.800003,74.800003,6511200
2014-02-12,74.220001,75.180000,74.220001,74.959999,74.959999,5339800
2014-02-13,74.680000,75.489998,74.559998,75.360001,75.360001,5250200
2014-02-14,75.400002,75.989998,75.099998,75.790001,75.790001,4908900
2014-02-18,75.489998,75.650002,74.860001,75.330002,75.330002,5993800
2014-02-19,75.010002,75.320000,74.410004,74.849998,74.849998,8130300
2014-02-20,73.050003,74.000000,72.809998,73.519997,73.519997,13079100
2014-02-21,73.190002,73.400002,72.820000,73.120003,73.120003,8971000
2014-02-24,73.239998,73.820000,73.139999,73.349998,73.349998,7321500
2014-02-25,73.180000,73.739998,73.089996,73.349998,73.349998,9482700
2014-02-26,73.940002,75.099998,73.790001,74.779999,74.779999,9022200
2014-02-27,74.779999,74.779999,74.089996,74.559998,74.559998,5448200
2014-02-28,74.480003,75.190002,74.199997,74.699997,74.699997,7444600
2014-03-03,74.489998,74.669998,73.830002,74.120003,74.120003,5347600
2014-03-04,74.769997,75.489998,74.660004,75.129997,75.129997,7543800
2014-03-05,75.320000,75.330002,74.580002,74.800003,74.800003,5524800
2014-03-06,74.860001,75.110001,74.510002,74.879997,74.879997,5106600
2014-03-07,74.959999,74.959999,74.360001,74.580002,74.580002,5054600
2014-03-10,74.519997,74.599998,74.050003,74.430000,74.430000,4827000
2014-03-11,74.720001,74.970001,74.199997,74.919998,74.919998,9005600
2014-03-12,74.849998,75.750000,74.820000,75.529999,75.529999,8627600
2014-03-13,75.709999,76.180000,74.910004,74.930000,74.930000,5824500
2014-03-14,74.669998,75.070000,74.269997,74.279999,74.279999,6619000
2014-03-17,74.300003,74.849998,74.010002,74.680000,74.680000,5780400
2014-03-18,74.660004,74.989998,74.449997,74.769997,74.769997,3943800
2014-03-19,74.559998,75.110001,74.019997,74.379997,74.379997,5761100
2014-03-20,74.019997,75.680000,73.860001,75.379997,75.379997,8637500
